Zeit t / s,Spannung U_B1 / V,Relais R_1,Spannungsquelle S_1,Spannung U_A1 / V
0,0.30705,0,1,-0.01635
0.02,0.30705,0,1,-0.01635
0.04,0.30705,0,1,-0.01635
0.061,0.30705,0,1,-0.01635
0.081,0.30705,0,1,-0.01635
0.101,0.30705,0,1,-0.01635
0.121,0.30705,0,1,-0.01635
0.141,0.30705,0,1,-0.01635
0.161,0.30705,0,1,-0.01635
0.181,0.30705,0,1,-0.01635
0.201,0.30705,0,1,-0.01635
0.221,0.30705,0,1,-0.01635
0.241,0.30705,0,1,-0.01635
0.261,0.30705,0,1,-0.01635
0.281,0.30705,0,1,-0.01635
0.301,0.30705,0,1,-0.01635
0.321,0.30705,0,1,-0.01635
0.341,0.30705,0,1,-0.01635
0.361,0.30705,0,1,-0.01635
0.38,0.30705,0,1,-0.01635
0.401,0.30705,0,1,-0.01635
0.42,0.30705,0,1,-0.01635
0.44,0.30705,0,1,-0.01635
0.461,0.30705,0,1,-0.01635
0.48,0.30705,0,1,-0.01635
0.5,0.30705,0,1,-0.01635
0.521,0.30705,0,1,-0.01635
0.54,0.30705,0,1,-0.01635
0.561,0.30705,0,1,-0.01635
0.581,0.30705,0,1,-0.01635
0.601,0.30705,0,1,-0.01635
0.621,0.30705,0,1,-0.01635
0.641,0.30705,0,1,-0.01635
0.661,0.30705,0,1,-0.01635
0.681,0.30705,0,1,-0.01635
0.701,0.30705,0,1,-0.01635
0.721,0.30705,0,1,-0.01635
0.741,0.30705,0,1,-0.01635
0.761,0.30705,0,1,-0.01635
0.781,0.30705,0,1,-0.01635
0.801,0.30705,0,1,-0.01635
0.821,0.30705,0,1,-0.01635
0.841,0.30705,0,1,-0.01635
0.861,0.30705,0,1,-0.01635
0.88,0.30705,0,1,-0.01635
0.901,0.30705,0,1,-0.01635
0.921,0.30705,0,1,-0.01635
0.941,0.30705,0,1,-0.01635
0.961,0.30705,0,1,-0.01635
0.981,0.30705,0,1,-0.01635
1.001,0.30705,0,1,-0.01635
1.021,0.30705,0,1,-0.01635
1.041,0.30705,0,1,-0.01635
1.061,0.30705,0,1,-0.01635
1.081,0.30705,0,1,-0.01635
1.1,0.30705,0,1,-0.01635
1.121,0.30705,0,1,-0.01635
