Zeit t / s,Spannung U_B1 / V,Relais R_1,Spannungsquelle S_1,Spannung U_A1 / V
0,-0.01,0,1,-0.012
0.199,-0.01,0,1,-0.012
0.4,-0.01,0,1,-0.012
0.599,-0.01,0,1,-0.012
0.8,-0.005,0,1,-0.012
0.999,-0.01,0,1,-0.012
1.199,-0.01,0,1,-0.012
1.4,-0.005,0,1,-0.012
1.6,-0.005,0,1,-0.012
1.8,-0.005,0,1,-0.012
2,-0.005,0,1,-0.012
2.2,-0.01,0,1,-0.012
2.4,-0.005,0,1,-0.012
2.599,-0.005,0,1,-0.012
2.799,-0.005,0,1,-0.012
2.999,-0.005,0,1,-0.012
3.2,-0.005,0,1,-0.012
3.4,-0.005,0,1,-0.012
3.599,-0.005,0,1,-0.012
3.8,-0.005,0,1,-0.012
3.999,-0.005,0,1,-0.01155
4.199,-0.005,0,1,-0.0111
4.4,-0.005,0,1,-0.01005
4.6,-0.005,0,1,0.0009
4.8,-0.005,0,1,0.0129
4.999,-0.005,0,1,0.02175
5.199,-0.005,0,1,0.02895
5.4,-0.005,0,1,0.03555
5.599,-0.005,0,1,0.04005
5.799,-0.005,0,1,0.04515
5.999,-0.005,0,1,0.0504
6.199,-0.005,0,1,0.0546
6.4,-0.005,0,1,0.05895
6.6,-0.005,0,1,0.0639
6.8,-0.005,0,1,0.07005
6.999,-0.005,0,1,0.0741
7.199,-0.005,0,1,0.07815
7.399,-0.005,0,1,0.08355
7.6,-0.005,0,1,0.09
7.8,-0.005,0,1,0.0948
7.999,-0.005,0,1,0.1005
8.2,-0.005,0,1,0.1062
8.4,-0.005,0,1,0.11265
8.599,-0.005,0,1,0.1218
8.8,-0.01,0,1,0.132
9,-0.005,0,1,0.14475
9.199,-0.01,0,1,0.18885
9.399,-0.005,0,1,0.1899
9.6,-0.005,0,1,0.1905
9.799,-0.005,0,1,0.1911
10,-0.005,0,1,0.19185
10.199,-0.005,0,1,0.19185
10.399,-0.01,0,1,0.19185
10.6,-0.01,0,1,0.192
10.799,-0.01,0,1,0.192
11,-0.01,0,1,0.192
11.199,-0.01,0,1,0.192
11.4,-0.01,0,1,0.192
11.599,-0.01,0,1,0.192
11.8,-0.005,0,1,0.192
11.999,-0.01,0,1,0.192
12.199,-0.01,0,1,0.192
12.4,-0.01,0,1,0.19185
12.599,-0.01,0,1,0.19185
12.799,-0.01,0,1,0.19185
13,-0.01,0,1,0.19185
13.199,-0.01,0,1,0.19185
13.399,-0.01,0,1,0.19185
13.6,-0.01,0,1,0.19185
13.8,-0.01,0,1,0.19185
13.999,-0.01,0,1,0.192
14.2,-0.01,0,1,0.192
14.399,-0.01,0,1,0.192
14.6,-0.01,0,1,0.192
14.8,-0.01,0,1,0.192
15,-0.01,0,1,0.192
15.199,-0.01,0,1,0.192
15.4,-0.01,0,1,0.192
15.599,-0.01,0,1,0.192
15.8,-0.01,0,1,0.192
16,-0.01,0,1,0.192
16.2,-0.01,0,1,0.192
16.4,-0.01,0,1,0.192
16.6,-0.01,0,1,0.192
16.8,-0.01,0,1,0.192
17,-0.01,0,1,0.192
17.199,-0.01,0,1,0.192
17.4,-0.01,0,1,0.192
17.599,-0.01,0,1,0.192
17.8,-0.01,0,1,0.192
17.999,-0.01,0,1,0.192
18.2,-0.01,0,1,0.192
18.399,-0.01,0,1,0.192
18.599,-0.01,0,1,0.192
18.799,-0.01,0,1,0.192
18.999,-0.01,0,1,0.192
19.2,-0.01,0,1,0.192
19.4,-0.01,0,1,0.192
19.6,-0.01,0,1,0.192
19.8,-0.01,0,1,0.192
20.002,-0.01,0,1,0.192
20.199,-0.01,0,1,0.192
20.4,-0.01,0,1,0.192
20.599,-0.01,0,1,0.192
20.8,-0.01,0,1,0.192
21,-0.01,0,1,0.192
21.199,-0.01,0,1,0.192
21.4,-0.01,0,1,0.192
21.599,-0.01,0,1,0.192
21.8,-0.01,0,1,0.192
21.999,-0.01,0,1,0.192
22.199,-0.01,0,1,0.19185
22.399,-0.01,0,1,0.19155
22.599,-0.01,0,1,0.1917
22.8,-0.01,0,1,0.19155
22.999,-0.01,0,1,0.1917
23.199,-0.01,0,1,0.1917
23.399,-0.01,0,1,0.1917
23.6,-0.01,0,1,0.1917
23.799,-0.01,0,1,0.19185
23.999,-0.005,0,1,0.1917
24.2,-0.005,0,1,0.19185
24.399,-0.005,0,1,0.192
24.6,-0.01,0,1,0.19185
24.799,-0.005,0,1,0.19185
25,-0.005,0,1,0.19185
25.199,-0.005,0,1,0.19185
25.399,-0.005,0,1,0.19185
25.599,-0.005,0,1,0.19185
25.8,-0.005,0,1,0.19185
25.999,-0.005,0,1,0.19185
26.199,-0.005,0,1,0.192
26.4,-0.005,0,1,0.192
26.6,-0.005,0,1,0.192
26.8,-0.005,0,1,0.192
26.999,-0.01,0,1,0.192
27.199,-0.005,0,1,0.192
27.4,-0.005,0,1,0.192
27.6,-0.005,0,1,0.192
27.799,-0.01,0,1,0.192
28,-0.005,0,1,0.192
28.199,-0.005,0,1,0.192
28.399,-0.005,0,1,0.192
28.599,-0.005,0,1,0.192
28.8,-0.005,0,1,0.192
28.999,-0.005,0,1,0.192
29.2,-0.005,0,1,0.192
29.4,-0.005,0,1,0.192
29.6,-0.005,0,1,0.192
29.8,-0.005,0,1,0.192
29.999,-0.005,0,1,0.192
