Zeit t / s,Spannung U_B1 / V,Relais R_1,Spannungsquelle S_1,Spannung U_A1 / V
0,0.826,0,1,-0.01245
0.02,0.826,0,1,-0.01245
0.041,0.8265,0,1,-0.01245
0.061,0.8265,0,1,-0.01245
0.081,0.8265,0,1,-0.01245
0.101,0.8265,0,1,-0.01245
0.12,0.8265,0,1,-0.01245
0.141,0.8265,0,1,-0.01245
0.16,0.8265,0,1,-0.01245
0.181,0.826,0,1,-0.01245
0.199,0.826,0,1,-0.01245
0.221,0.8265,0,1,-0.01245
0.24,0.8265,0,1,-0.01245
0.261,0.826,0,1,-0.01245
0.281,0.826,0,1,-0.01245
0.301,0.826,0,1,-0.0126
0.321,0.826,0,1,-0.0126
0.341,0.826,0,1,-0.0126
0.361,0.826,0,1,-0.0126
0.381,0.826,0,1,-0.0126
0.401,0.826,0,1,-0.0126
0.421,0.826,0,1,-0.0126
0.44,0.826,0,1,-0.0126
0.461,0.826,0,1,-0.0126
0.481,0.8265,0,1,-0.0126
0.501,0.826,0,1,-0.0126
0.521,0.826,0,1,-0.0126
0.54,0.826,0,1,-0.0126
0.561,0.826,0,1,-0.0126
0.581,0.826,0,1,-0.01275
0.601,0.8265,0,1,-0.0129
0.62,0.8265,0,1,-0.0129
0.641,0.826,0,1,-0.0129
0.66,0.826,0,1,-0.0129
0.681,0.826,0,1,-0.01275
0.701,0.826,0,1,-0.01275
0.721,0.826,0,1,-0.01275
0.74,0.826,0,1,-0.01275
0.761,0.826,0,1,-0.0129
0.78,0.8265,0,1,-0.0129
0.801,0.8265,0,1,-0.0129
0.821,0.8265,0,1,-0.0129
0.841,0.8265,0,1,-0.0129
0.861,0.8265,0,1,-0.0129
0.881,0.8265,0,1,-0.0129
0.9,0.8265,0,1,-0.0129
0.921,0.8265,0,1,-0.01275
0.94,0.8265,0,1,-0.01275
0.961,0.8265,0,1,-0.0129
0.98,0.8265,0,1,-0.0129
1.001,0.826,0,1,-0.0129
1.021,0.826,0,1,-0.0129
1.041,0.826,0,1,-0.0129
1.061,0.826,0,1,-0.0129
1.081,0.826,0,1,-0.01275
1.1,0.826,0,1,-0.01275
1.121,0.826,0,1,-0.01275
1.14,0.826,0,1,-0.01275
1.161,0.826,0,1,-0.01275
1.181,0.826,0,1,-0.0129
1.201,0.826,0,1,-0.01275
1.221,0.8265,0,1,-0.0129
1.241,0.826,0,1,-0.0129
1.261,0.8265,0,1,-0.01275
1.28,0.8265,0,1,-0.01275
1.301,0.826,0,1,-0.01275
1.321,0.826,0,1,-0.01275
1.341,0.826,0,1,-0.01275
1.361,0.826,0,1,-0.01275
1.38,0.8265,0,1,-0.01275
1.4,0.826,0,1,-0.01275
