Zeit t / s,Spannung U_A1 / V,Spannung U_B1 / V
0,0.19185,0.01215
0.02,0.1923,0.01215
0.04,0.19215,0.01215
0.06,0.19215,0.012
0.08,0.19215,0.012
0.1,0.192,0.012
0.12,0.19215,0.012
0.139,0.192,0.012
0.16,0.19215,0.01185
0.18,0.19215,0.0117
0.2,0.19215,0.012
0.219,0.19185,0.012
0.24,0.19215,0.012
0.259,0.19185,0.012
0.28,0.19215,0.012
0.3,0.19215,0.01185
0.32,0.19215,0.01185
0.339,0.19185,0.012
0.36,0.19215,0.01185
0.379,0.19185,0.012
0.401,0.19215,0.01185
0.42,0.19185,0.01185
0.44,0.19185,0.012
0.461,0.19215,0.0123
0.481,0.19215,0.0123
0.5,0.19185,0.012
0.521,0.19215,0.01185
0.541,0.19215,0.01185
0.561,0.19215,0.012
0.581,0.19215,0.01215
0.601,0.19215,0.0123
0.621,0.19215,0.01215
0.641,0.19245,0.01215
0.66,0.19215,0.01215
0.68,0.19215,0.0123
0.7,0.19215,0.0123
0.72,0.19185,0.01215
0.74,0.19185,0.01185
0.761,0.19215,0.01185
0.78,0.19185,0.01185
0.8,0.19185,0.012
0.819,0.1917,0.01185
0.84,0.19185,0.0117
0.86,0.19185,0.01185
0.88,0.19185,0.01185
0.9,0.19185,0.01185
0.92,0.19185,0.01185
0.941,0.19215,0.01185
0.962,0.1926,0.01215
0.981,0.19215,0.012
1.001,0.19215,0.0117
1.02,0.19215,0.0117
1.04,0.19215,0.01185
1.061,0.19215,0.01185
1.081,0.19215,0.0117
1.101,0.192,0.01185
1.121,0.19215,0.01185
1.14,0.19215,0.012
1.16,0.19215,0.01215
1.18,0.19215,0.012
1.2,0.19185,0.0117
1.22,0.19215,0.01155
1.24,0.19215,0.0117
1.26,0.19215,0.012
1.28,0.19215,0.012
1.301,0.19215,0.01185
1.32,0.19215,0.012
1.34,0.19185,0.012
1.36,0.19215,0.0117
1.38,0.19185,0.01155
1.4,0.19185,0.0117
1.42,0.19185,0.01155
1.44,0.19185,0.01155
1.459,0.19155,0.01155
1.48,0.19185,0.0117
1.5,0.19185,0.0117
1.52,0.19185,0.0117
1.539,0.19185,0.01185
1.56,0.19215,0.01185
1.58,0.19215,0.01185
1.6,0.19215,0.01185
1.62,0.19185,0.0117
1.64,0.19185,0.01185
1.66,0.19185,0.01185
1.68,0.19185,0.01185
1.7,0.19185,0.0117
1.72,0.19185,0.01155
1.74,0.19185,0.0117
1.76,0.19185,0.01185
1.781,0.19215,0.01185
1.8,0.19185,0.0117
1.82,0.19185,0.01155
1.84,0.19185,0.0117
1.86,0.19185,0.0117
1.879,0.19185,0.0117
1.9,0.19215,0.01185
1.92,0.19215,0.0117
1.94,0.192,0.01215
1.96,0.19185,0.012
1.981,0.192,0.01215
2,0.19185,0.012
2.02,0.19185,0.012
2.04,0.19185,0.012
2.06,0.19185,0.012
2.08,0.19185,0.01185
2.1,0.19185,0.0117
2.121,0.192,0.0117
2.141,0.19215,0.0117
2.16,0.19185,0.0117
2.181,0.19215,0.01185
2.2,0.19185,0.012
2.219,0.19185,0.01185
2.24,0.19185,0.01185
2.26,0.19215,0.012
2.28,0.19215,0.012
2.3,0.19185,0.01185
2.321,0.19215,0.01185
2.341,0.19215,0.0117
2.361,0.19215,0.0117
2.38,0.19215,0.01155
2.4,0.19215,0.01155
2.42,0.19215,0.01155
2.44,0.19215,0.01155
2.46,0.19185,0.0117
2.48,0.192,0.0117
2.5,0.19185,0.01155
2.521,0.19215,0.0117
2.541,0.19215,0.0117
2.56,0.19185,0.0114
2.58,0.19185,0.01155
2.6,0.19185,0.0117
2.62,0.19185,0.0117
2.64,0.19185,0.0117
2.661,0.19215,0.01155
2.681,0.19215,0.01155
2.7,0.192,0.0117
2.72,0.19215,0.0117
2.74,0.19185,0.0117
2.76,0.19185,0.0117
2.78,0.19185,0.01185
2.8,0.1917,0.012
2.82,0.19185,0.012
2.841,0.192,0.01215
2.861,0.19215,0.012
2.88,0.192,0.01185
2.9,0.19185,0.0117
2.92,0.19185,0.0117
2.94,0.19185,0.012
2.96,0.1917,0.01215
2.98,0.19185,0.012
3.001,0.192,0.012
3.021,0.192,0.012
3.041,0.19215,0.012
3.061,0.192,0.0123
3.08,0.19215,0.01215
3.1,0.19215,0.0123
3.12,0.19215,0.01215
3.14,0.192,0.012
3.16,0.1917,0.01215
3.18,0.19215,0.012
3.2,0.192,0.01215
3.22,0.19215,0.012
3.24,0.192,0.01185
3.26,0.192,0.0117
3.28,0.19215,0.01155
3.3,0.1917,0.01155
3.32,0.1917,0.0117
3.34,0.1917,0.01185
3.36,0.1917,0.01185
3.38,0.1917,0.01185
3.4,0.1917,0.012
3.42,0.1917,0.012
3.44,0.1917,0.01185
3.46,0.1917,0.0117
3.481,0.192,0.01185
3.5,0.192,0.01185
3.52,0.192,0.0117
3.54,0.192,0.0117
3.56,0.192,0.0114
3.58,0.1917,0.0114
3.6,0.1917,0.01155
3.621,0.192,0.01155
3.641,0.19245,0.0117
3.661,0.192,0.01185
3.68,0.1917,0.01185
3.7,0.1917,0.01185
3.72,0.1917,0.01215
3.74,0.1917,0.01185
3.762,0.1923,0.01185
3.78,0.1917,0.01185
3.8,0.1917,0.01215
3.821,0.192,0.012
3.84,0.1917,0.012
3.86,0.1917,0.01215
3.88,0.1917,0.0117
3.9,0.1917,0.01185
3.92,0.1917,0.01215
3.94,0.1917,0.012
3.96,0.1917,0.01185
3.981,0.192,0.0117
4.001,0.192,0.0117
4.021,0.192,0.0117
4.041,0.192,0.0117
4.06,0.192,0.0117
4.08,0.192,0.0117
4.1,0.192,0.0117
4.12,0.192,0.01155
4.14,0.192,0.01155
4.16,0.192,0.01155
4.18,0.1917,0.01155
4.2,0.1917,0.01155
4.22,0.1917,0.01155
4.24,0.1917,0.01155
4.26,0.1917,0.01185
4.281,0.192,0.01185
4.301,0.192,0.012
4.321,0.192,0.01185
4.341,0.192,0.01185
4.36,0.192,0.01185
4.38,0.192,0.01185
4.4,0.192,0.01185
4.42,0.192,0.012
4.442,0.1923,0.012
4.46,0.19185,0.012
4.48,0.19185,0.01215
4.5,0.1917,0.01215
4.52,0.19185,0.01185
4.54,0.1917,0.0117
4.561,0.192,0.01185
4.581,0.192,0.0117
4.601,0.192,0.01185
4.62,0.192,0.0117
4.64,0.192,0.0117
4.661,0.192,0.01155
4.68,0.192,0.01155
4.699,0.19185,0.01155
4.72,0.192,0.01155
4.74,0.1917,0.0117
4.76,0.19185,0.0117
4.78,0.1917,0.0117
4.799,0.19185,0.0117
4.82,0.192,0.0117
4.84,0.19185,0.01155
4.86,0.19185,0.01155
4.88,0.19185,0.01155
4.901,0.192,0.01125
4.921,0.192,0.0114
4.94,0.192,0.0114
4.96,0.19185,0.01155
4.98,0.192,0.0117
5,0.192,0.01155
5.02,0.192,0.01155
5.04,0.192,0.0117
5.06,0.192,0.01155
5.08,0.192,0.0114
5.1,0.192,0.01125
5.12,0.19185,0.01125
5.14,0.19185,0.0111
5.16,0.19185,0.0114
5.18,0.19185,0.0114
5.2,0.19185,0.01155
5.22,0.1917,0.0114
5.239,0.1917,0.0114
